relative_path,bytes,modified_utc,suffix,top_level,role,sha256_if_small
.gitignore,1057,2026-09-02T05:27:29.843495+00:00,[none],.gitignore,project_support_or_other,
AGENT.md,5604,2026-08-31T01:49:06.571798+00:00,.md,AGENT.md,project_support_or_other,b938e2a75e55ced3273be10be9123d8df050a4db3feef3a3b607575e8b0a60b3
EXPLICIT_CNT_CURRENT_VACF_WORKFLOW_FOR_IMPLICIT_COMPARISON.md,23422,2026-08-28T23:40:49.031432+00:00,.md,EXPLICIT_CNT_CURRENT_VACF_WORKFLOW_FOR_IMPLICIT_COMPARISON.md,project_support_or_other,a8529daf06b8884f999ffb12637d0230bb7b738860647e25cd4c9f95fb1596aa
IMPLICIT_CNT_DISCRETE_MODAL_VACF_RECONSTRUCTION_METHOD.md,6035,2026-09-01T14:31:26.867944+00:00,.md,IMPLICIT_CNT_DISCRETE_MODAL_VACF_RECONSTRUCTION_METHOD.md,project_support_or_other,22147d9ba4b5244afca578ab3cb85b895597dd4cef08e6aae7807e3db8213dde
README.md,9514,2026-08-20T02:07:37.448291+00:00,.md,README.md,project_support_or_other,bee31d544dae96f957d5918addfacfc56eba7eef939d7f8d06c85ca039874ca6
analysis_asset_audit_2026-08-20.md,28441,2026-08-20T03:10:36.418980+00:00,.md,analysis_asset_audit_2026-08-20.md,project_support_or_other,280ac7d83d946fe98889a64fef4089ea261c241f7eb069b5594e94e01488282d
analyze_transverse_cjj_kmin_200ps.py,5153,2026-08-18T13:01:49.743123+00:00,.py,analyze_transverse_cjj_kmin_200ps.py,unclassified_script,fedd1e4d16ba0aa154cd5d9280cf23394c25765f44baa9b9e24fb37e9295dd47
assets.md,97174,2026-09-01T14:32:19.174523+00:00,.md,assets.md,project_support_or_other,add3a0ab198f558af36192df70ba1116fbdfaa0ae03cf69fefa3ca71dafd7c7a
assets/README.md,705,2026-08-20T02:06:04.189923+00:00,.md,assets,display_asset,77e2f3427ef077f6697f302b6588c03a1eaa3968eec2d1e1e559a89e076308bc
assets/library/cjj/cjj_88_10L_depth_lambda_log_vs_saturation.csv,4795,2026-08-12T13:10:02.675062+00:00,.csv,assets,display_asset,
assets/library/cjj/cjj_88_10L_depth_lambda_log_vs_saturation_nature.pdf,55149,2026-08-12T13:10:06.649146+00:00,.pdf,assets,display_asset,
assets/library/cjj/cjj_88_10L_depth_lambda_log_vs_saturation_nature.png,448358,2026-08-12T13:10:03.914155+00:00,.png,assets,display_asset,
assets/library/cjj/cjj_88_10L_depth_lambda_log_vs_saturation_nature.svg,73811,2026-08-12T13:10:06.980436+00:00,.svg,assets,display_asset,
assets/library/cjj/cjj_88_10L_depth_lambda_log_vs_saturation_nature.tiff,38779586,2026-08-12T13:10:04.335771+00:00,.tiff,assets,display_asset,
assets/library/cjj/cjj_88_10L_invk_lobe_scaling_diagnostic.csv,4928,2026-08-12T12:59:55.540665+00:00,.csv,assets,display_asset,
assets/library/cjj/cjj_88_10L_invk_lobe_scaling_diagnostic_nature.pdf,61966,2026-08-12T12:59:59.914466+00:00,.pdf,assets,display_asset,
assets/library/cjj/cjj_88_10L_invk_lobe_scaling_diagnostic_nature.png,376598,2026-08-12T12:59:57.017466+00:00,.png,assets,display_asset,
assets/library/cjj/cjj_88_10L_invk_lobe_scaling_diagnostic_nature.svg,93868,2026-08-12T13:00:00.489593+00:00,.svg,assets,display_asset,
assets/library/cjj/cjj_88_10L_invk_lobe_scaling_diagnostic_nature.tiff,35303726,2026-08-12T12:59:57.615663+00:00,.tiff,assets,display_asset,
assets/library/cjj/cjj_88_10L_normalized_lobe_area_over_lambda.csv,3887,2026-08-13T01:15:06.649144+00:00,.csv,assets,display_asset,
assets/library/cjj/cjj_88_10L_normalized_lobe_area_over_lambda_nature.pdf,58443,2026-08-13T01:15:12.149231+00:00,.pdf,assets,display_asset,
assets/library/cjj/cjj_88_10L_normalized_lobe_area_over_lambda_nature.png,432642,2026-08-13T01:15:08.994041+00:00,.png,assets,display_asset,
assets/library/cjj/cjj_88_10L_normalized_lobe_area_over_lambda_nature.svg,88891,2026-08-13T01:15:12.557385+00:00,.svg,assets,display_asset,
assets/library/cjj/cjj_88_10L_normalized_lobe_area_over_lambda_nature.tiff,43307366,2026-08-13T01:15:09.557029+00:00,.tiff,assets,display_asset,
assets/library/cjj/cjj_88_10L_raw_source_area_lambda_linearity_audit.csv,2242,2026-08-13T01:56:21.388878+00:00,.csv,assets,display_asset,
